日期	星期	时间	双方	客队	主队	客队编号	主队编号
2017/10/18	星期三	8:00	凯尔特人vs骑士	凯尔特人	骑士	4	3
2017/10/18	星期三	10:30	火箭vs勇士	火箭	勇士	1	2
2017/10/19	星期四	7:00	篮网vs步行者	篮网	步行者	19	13
2017/10/19	星期四	7:00	黄蜂vs活塞	黄蜂	活塞	24	21
2017/10/19	星期四	7:00	76人vs奇才	76人	奇才	7	22
2017/10/19	星期四	7:00	热火vs魔术	热火	魔术	23	10
2017/10/19	星期四	7:30	雄鹿vs凯尔特人	雄鹿	凯尔特人	25	4
2017/10/19	星期四	8:00	鹈鹕vs灰熊	鹈鹕	灰熊	11	9
2017/10/19	星期四	8:30	老鹰vs小牛	老鹰	小牛	27	29
2017/10/19	星期四	9:00	掘金vs爵士	掘金	爵士	15	18
2017/10/19	星期四	9:30	森林狼vs马刺	森林狼	马刺	6	5
2017/10/19	星期四	10:00	火箭vs国王	火箭	国王	1	17
2017/10/19	星期四	10:00	开拓者vs太阳	开拓者	太阳	12	28
2017/10/20	星期五	7:30	公牛vs猛龙	公牛	猛龙	26	14
2017/10/20	星期五	8:00	尼克斯vs雷霆	尼克斯	雷霆	16	0
2017/10/20	星期五	10:30	快船vs湖人	快船	湖人	8	20
2017/10/21	星期六	7:00	活塞vs奇才	活塞	奇才	21	22
2017/10/21	星期六	7:00	凯尔特人vs76人	凯尔特人	76人	4	7
2017/10/21	星期六	7:00	老鹰vs黄蜂	老鹰	黄蜂	27	24
2017/10/21	星期六	7:00	骑士vs雄鹿	骑士	雄鹿	3	25
2017/10/21	星期六	7:00	开拓者vs步行者	开拓者	步行者	12	13
2017/10/21	星期六	7:30	魔术vs篮网	魔术	篮网	10	19
2017/10/21	星期六	8:00	爵士vs森林狼	爵士	森林狼	18	6
2017/10/21	星期六	8:30	国王vs小牛	国王	小牛	17	29
2017/10/21	星期六	9:30	勇士vs鹈鹕	勇士	鹈鹕	2	11
2017/10/21	星期六	10:00	湖人vs太阳	湖人	太阳	20	28
2017/10/22	星期日	7:30	76人vs猛龙	76人	猛龙	7	14
2017/10/22	星期日	8:00	步行者vs热火	步行者	热火	13	23
2017/10/22	星期日	8:00	勇士vs灰熊	勇士	灰熊	2	9
2017/10/22	星期日	8:00	活塞vs尼克斯	活塞	尼克斯	21	16
2017/10/22	星期日	8:00	魔术vs骑士	魔术	骑士	10	3
2017/10/22	星期日	8:00	马刺vs公牛	马刺	公牛	5	26
2017/10/22	星期日	8:00	小牛vs火箭	小牛	火箭	29	1
2017/10/22	星期日	8:30	开拓者vs雄鹿	开拓者	雄鹿	12	25
2017/10/22	星期日	9:00	雷霆vs爵士	雷霆	爵士	0	18
2017/10/22	星期日	9:00	国王vs掘金	国王	掘金	17	15
2017/10/22	星期日	10:30	太阳vs快船	太阳	快船	28	8
2017/10/23	星期一	3:30	老鹰vs篮网	老鹰	篮网	27	19
2017/10/23	星期一	7:00	森林狼vs雷霆	森林狼	雷霆	6	0
2017/10/23	星期一	9:30	鹈鹕vs湖人	鹈鹕	湖人	11	20
2017/10/24	星期二	7:00	76人vs活塞	76人	活塞	7	21
2017/10/24	星期二	7:30	老鹰vs热火	老鹰	热火	27	23
2017/10/24	星期二	8:00	黄蜂vs雄鹿	黄蜂	雄鹿	24	25
2017/10/24	星期二	8:00	灰熊vs火箭	灰熊	火箭	9	1
2017/10/24	星期二	8:30	勇士vs小牛	勇士	小牛	2	29
2017/10/24	星期二	8:30	猛龙vs马刺	猛龙	马刺	14	5
2017/10/24	星期二	9:00	奇才vs掘金	奇才	掘金	22	15
2017/10/24	星期二	10:00	国王vs太阳	国王	太阳	17	28
2017/10/25	星期三	7:00	篮网vs魔术	篮网	魔术	19	10
2017/10/25	星期三	7:00	公牛vs骑士	公牛	骑士	26	3
2017/10/25	星期三	7:30	尼克斯vs凯尔特人	尼克斯	凯尔特人	16	4
2017/10/25	星期三	8:00	步行者vs森林狼	步行者	森林狼	13	6
2017/10/25	星期三	10:00	鹈鹕vs开拓者	鹈鹕	开拓者	11	12
2017/10/25	星期三	10:30	爵士vs快船	爵士	快船	18	8
2017/10/26	星期四	7:00	森林狼vs活塞	森林狼	活塞	6	21
2017/10/26	星期四	7:00	掘金vs黄蜂	掘金	黄蜂	15	24
2017/10/26	星期四	7:00	火箭vs76人	火箭	76人	1	7
2017/10/26	星期四	7:30	骑士vs篮网	骑士	篮网	3	19
2017/10/26	星期四	8:00	马刺vs热火	马刺	热火	5	23
2017/10/26	星期四	8:00	步行者vs雷霆	步行者	雷霆	13	0
2017/10/26	星期四	8:30	灰熊vs小牛	灰熊	小牛	9	29
2017/10/26	星期四	10:00	爵士vs太阳	爵士	太阳	18	28
2017/10/26	星期四	10:30	猛龙vs勇士	猛龙	勇士	14	2
2017/10/26	星期四	10:30	奇才vs湖人	奇才	湖人	22	20
2017/10/27	星期五	8:00	老鹰vs公牛	老鹰	公牛	27	26
2017/10/27	星期五	8:00	小牛vs灰熊	小牛	灰熊	29	9
2017/10/27	星期五	8:00	凯尔特人vs雄鹿	凯尔特人	雄鹿	4	25
2017/10/27	星期五	10:00	快船vs开拓者	快船	开拓者	8	12
2017/10/27	星期五	10:30	鹈鹕vs国王	鹈鹕	国王	11	17
2017/10/28	星期六	7:00	马刺vs魔术	马刺	魔术	5	10
2017/10/28	星期六	7:00	火箭vs黄蜂	火箭	黄蜂	1	24
2017/10/28	星期六	7:30	掘金vs老鹰	掘金	老鹰	15	27
2017/10/28	星期六	7:30	篮网vs尼克斯	篮网	尼克斯	19	16
2017/10/28	星期六	8:00	雷霆vs森林狼	雷霆	森林狼	0	6
2017/10/28	星期六	10:30	奇才vs勇士	奇才	勇士	22	2
2017/10/28	星期六	10:30	猛龙vs湖人	猛龙	湖人	14	20
2017/10/29	星期日	7:00	骑士vs鹈鹕	骑士	鹈鹕	3	11
2017/10/29	星期日	8:00	雷霆vs公牛	雷霆	公牛	0	26
2017/10/29	星期日	8:00	火箭vs灰熊	火箭	灰熊	1	9
2017/10/29	星期日	8:00	凯尔特人vs热火	凯尔特人	热火	4	23
2017/10/29	星期日	8:30	76人vs小牛	76人	小牛	7	29
2017/10/29	星期日	9:00	湖人vs爵士	湖人	爵士	20	18
2017/10/29	星期日	10:00	太阳vs开拓者	太阳	开拓者	28	12
2017/10/29	星期日	10:30	活塞vs快船	活塞	快船	21	8
2017/10/30	星期一	3:30	雄鹿vs老鹰	雄鹿	老鹰	25	27
